dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.885176,3.639424,0.885258,1.099593,0.611675,-0.272789,6.256531
0.020000,0.907402,3.638801,0.907492,1.111712,0.605973,-0.285098,6.253734
0.020000,0.929865,3.638106,0.929966,1.123713,0.600010,-0.298167,6.250776
0.020000,0.952564,3.637335,0.952678,1.135588,0.593769,-0.312054,6.247651
0.020000,0.975495,3.636482,0.975625,1.147333,0.587233,-0.326800,6.244350
0.020000,0.998655,3.635542,0.998803,1.158940,0.580383,-0.342473,6.240867
0.020000,1.022040,3.634509,1.022212,1.170404,0.573201,-0.359105,6.237192
0.020000,1.045647,3.633377,1.045846,1.181718,0.565666,-0.376775,6.233319
0.020000,1.069472,3.632140,1.069703,1.192873,0.557755,-0.395527,6.229238
0.020000,1.093512,3.630790,1.093781,1.203862,0.549447,-0.415421,6.224939
0.020000,1.117761,3.629321,1.118074,1.214676,0.540716,-0.436533,6.220414
0.020000,1.142215,3.627726,1.142580,1.225307,0.531538,-0.458893,6.215651
0.020000,1.166869,3.625997,1.167295,1.235744,0.521887,-0.482589,6.210641
0.020000,1.191719,3.624126,1.192215,1.245979,0.511733,-0.507662,6.205372
0.020000,1.216757,3.622104,1.217335,1.256000,0.501050,-0.534162,6.199831
0.020000,1.241979,3.619924,1.242651,1.265796,0.489807,-0.562153,6.194008
0.020000,1.267378,3.617575,1.268158,1.275356,0.477974,-0.591647,6.187887
0.020000,1.292947,3.615048,1.293851,1.284666,0.465520,-0.622694,6.181457
0.020000,1.318678,3.612334,1.319725,1.293714,0.452414,-0.655301,6.174701
0.020000,1.344565,3.609423,1.345775,1.302487,0.438625,-0.689452,6.167605
0.020000,1.370598,3.606303,1.371994,1.310969,0.424123,-0.725127,6.160153
0.020000,1.396768,3.602963,1.398377,1.319147,0.408877,-0.762255,6.152327
0.020000,1.423067,3.599393,1.424917,1.327004,0.392862,-0.800755,6.144110
0.020000,1.449484,3.595580,1.451608,1.334525,0.376054,-0.840438,6.135483
0.020000,1.476008,3.591511,1.478442,1.341694,0.358431,-0.881134,6.126427
0.020000,1.502627,3.587175,1.505412,1.348493,0.339980,-0.922555,6.116921
0.020000,1.529329,3.582558,1.532510,1.354907,0.320694,-0.964297,6.106944
0.020000,1.556100,3.577647,1.559728,1.360919,0.300575,-1.005951,6.096473
0.020000,1.582927,3.572427,1.587058,1.366512,0.279638,-1.046857,6.085485
0.020000,1.609795,3.566885,1.614492,1.371670,0.257912,-1.086308,6.073956
0.020000,1.636687,3.561006,1.642019,1.376379,0.235444,-1.123375,6.061861
0.020000,1.663588,3.554775,1.669632,1.380625,0.212305,-1.156942,6.049175
0.020000,1.690478,3.548177,1.697320,1.384397,0.188592,-1.185665,6.035870
0.020000,1.717340,3.541197,1.725074,1.387685,0.164433,-1.207955,6.021920
0.020000,1.744153,3.533819,1.752883,1.390485,0.139994,-1.221921,6.007298
0.020000,1.770897,3.526027,1.780739,1.392795,0.115487,-1.225379,5.991977
0.020000,1.797550,3.517806,1.808632,1.394618,0.091170,-1.215823,5.975930
0.020000,1.824091,3.509141,1.836551,1.395966,0.067362,-1.190414,5.959130
0.020000,1.850495,3.500015,1.864488,1.396854,0.044442,-1.146008,5.941552
0.020000,1.876740,3.490412,1.892434,1.397312,0.022858,-1.079176,5.923171
0.020000,1.902801,3.480318,1.920382,1.397374,0.003133,-0.986283,5.903967
0.020000,1.928653,3.469716,1.948323,1.397091,-0.014139,-0.863596,5.883919
0.020000,1.954219,3.458615,1.976196,1.393605,-0.174327,-8.009377,5.863057
0.020000,1.979324,3.447076,2.003826,1.381498,-0.605338,-21.550562,5.841509
0.020000,2.003806,3.435170,2.031049,1.361159,-1.016943,-20.580265,5.819423
0.020000,2.027609,3.422930,2.057814,1.338281,-1.143928,-6.349247,5.796881
0.020000,2.050733,3.410366,2.084132,1.315868,-1.120625,1.165178,5.773922
0.020000,2.073184,3.397485,2.110016,1.294190,-1.083907,1.835858,5.750585
0.020000,2.094970,3.384296,2.135482,1.273317,-1.043631,2.013829,5.726917
0.020000,2.116097,3.370808,2.160548,1.253315,-1.000112,2.175940,5.702965
0.020000,2.136578,3.357028,2.185233,1.234240,-0.953763,2.317457,5.678782
0.020000,2.156422,3.342964,2.209556,1.216138,-0.905082,2.434025,5.654420
0.020000,2.175643,3.328624,2.233537,1.199045,-0.854645,2.521882,5.629936
0.020000,2.194254,3.314016,2.257196,1.182984,-0.803083,2.578088,5.605388
0.020000,2.212269,3.299146,2.280556,1.167962,-0.751069,2.600712,5.580833
0.020000,2.229703,3.284021,2.303635,1.153977,-0.699291,2.588911,5.556328
0.020000,2.246569,3.268650,2.326455,1.141008,-0.648429,2.543057,5.531931
0.020000,2.262884,3.253039,2.349036,1.129025,-0.599137,2.464615,5.507695
0.020000,2.278662,3.237195,2.371395,1.117985,-0.552014,2.356148,5.483674
0.020000,2.293916,3.221126,2.393552,1.107833,-0.507592,2.221092,5.459916
0.020000,2.308662,3.204839,2.415522,1.098507,-0.466320,2.063597,5.436468
0.020000,2.322913,3.188344,2.437321,1.089936,-0.428555,1.888249,5.413372
0.020000,2.336681,3.171648,2.458962,1.082044,-0.394558,1.699895,5.390664
0.020000,2.349981,3.154761,2.480457,1.074755,-0.364491,1.503333,5.368379
0.020000,2.362823,3.137693,2.501817,1.067986,-0.338426,1.303223,5.346546
0.020000,2.375220,3.120455,2.523050,1.061659,-0.316352,1.103740,5.325189
0.020000,2.387182,3.103057,2.544164,1.055695,-0.298178,0.908676,5.304328
0.020000,2.398721,3.085510,2.565164,1.050020,-0.283755,0.721148,5.283980
0.020000,2.409847,3.067828,2.586055,1.044563,-0.272881,0.543724,5.264156
0.020000,2.420571,3.050023,2.606841,1.039256,-0.265314,0.378323,5.244865
0.020000,2.430902,3.032108,2.627521,1.034041,-0.260789,0.226254,5.226111
0.020000,2.440850,3.014095,2.648099,1.028860,-0.259022,0.088349,5.207898
0.020000,2.450424,2.995998,2.668572,1.023666,-0.259723,-0.035048,5.190223
0.020000,2.459634,2.977831,2.688940,1.018414,-0.262604,-0.144038,5.173085
0.020000,2.468490,2.959608,2.709201,1.013066,-0.267384,-0.238985,5.156476
0.020000,2.477001,2.941341,2.729353,1.007590,-0.273793,-0.320484,5.140392
0.020000,2.485176,2.923045,2.749392,1.001959,-0.281581,-0.389408,5.124822
0.020000,2.493023,2.904733,2.769315,0.996148,-0.290514,-0.446611,5.109757
0.020000,2.500553,2.886418,2.789118,0.990141,-0.300376,-0.493134,5.095185
0.020000,2.507774,2.868112,2.808797,0.983921,-0.310977,-0.530019,5.081096
0.020000,2.514695,2.849828,2.828346,0.977478,-0.322141,-0.558221,5.067477
0.020000,2.521325,2.831579,2.847762,0.970804,-0.333717,-0.578821,5.054314
0.020000,2.527672,2.813376,2.867040,0.963893,-0.345571,-0.592696,5.041595
0.020000,2.533747,2.795231,2.886175,0.956741,-0.357586,-0.600744,5.029307
0.020000,2.539556,2.777155,2.905162,0.949348,-0.369663,-0.603849,5.017435
0.020000,2.545109,2.759158,2.923996,0.941713,-0.381716,-0.602642,5.005967
0.020000,2.550414,2.741250,2.942673,0.933840,-0.393674,-0.597888,4.994889
0.020000,2.555480,2.723442,2.961188,0.925730,-0.405477,-0.590165,4.984188
0.020000,2.560314,2.705743,2.979535,0.917389,-0.417077,-0.580014,4.973852
0.020000,2.564924,2.688161,2.997712,0.908820,-0.428434,-0.567850,4.963867
0.020000,2.569319,2.670705,3.015712,0.900030,-0.439519,-0.554206,4.954221
0.020000,2.573505,2.653383,3.033533,0.891024,-0.450304,-0.539274,4.944903
0.020000,2.577492,2.636203,3.051169,0.881808,-0.460774,-0.523513,4.935900
0.020000,2.581285,2.619173,3.068617,0.872390,-0.470916,-0.507087,4.927202
0.020000,2.584892,2.602299,3.085872,0.862775,-0.480722,-0.490279,4.918798
0.020000,2.588320,2.585587,3.102932,0.852972,-0.490186,-0.473222,4.910676
0.020000,2.591576,2.569045,3.119791,0.842985,-0.499308,-0.456111,4.902827
0.020000,2.594667,2.552678,3.136448,0.832824,-0.508090,-0.439072,4.895241
0.020000,2.597598,2.536491,3.152898,0.822493,-0.516533,-0.422181,4.887910
0.020000,2.600377,2.520491,3.169138,0.812000,-0.524646,-0.405609,4.880822
0.020000,2.603010,2.504681,3.185165,0.801351,-0.532431,-0.389278,4.873971
0.020000,2.605501,2.489068,3.200976,0.790553,-0.539899,-0.373375,4.867348
