dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.050580,4.059928,1.105704,1.324590,0.591331,-0.522135,5.760788
0.020000,1.073681,4.046491,1.132428,1.336211,0.581084,-0.512337,5.751908
0.020000,1.096858,4.032734,1.159381,1.347632,0.571042,-0.502079,5.743221
0.020000,1.120109,4.018663,1.186558,1.358856,0.561212,-0.491532,5.734738
0.020000,1.143429,4.004282,1.213956,1.369888,0.551594,-0.480866,5.726469
0.020000,1.166814,3.989595,1.241570,1.380732,0.542189,-0.470248,5.718425
0.020000,1.190262,3.974609,1.269398,1.391392,0.532992,-0.459851,5.710617
0.020000,1.213770,3.959329,1.297435,1.401872,0.523996,-0.449836,5.703053
0.020000,1.237336,3.943761,1.325679,1.412175,0.515188,-0.440364,5.695744
0.020000,1.260957,3.927911,1.354125,1.422307,0.506557,-0.431583,5.688700
0.020000,1.284633,3.911787,1.382771,1.432268,0.498084,-0.423647,5.681929
0.020000,1.308363,3.895394,1.411612,1.442063,0.489750,-0.416694,5.675442
0.020000,1.332146,3.878741,1.440646,1.451694,0.481533,-0.410845,5.669246
0.020000,1.355982,3.861835,1.469869,1.461162,0.473408,-0.406238,5.663353
0.020000,1.379872,3.844683,1.499278,1.470469,0.465349,-0.402979,5.657769
0.020000,1.403817,3.827295,1.528871,1.479616,0.457325,-0.401174,5.652504
0.020000,1.427818,3.809679,1.558643,1.488602,0.449306,-0.400931,5.647568
0.020000,1.451876,3.791843,1.588591,1.497427,0.441260,-0.402333,5.642968
0.020000,1.475994,3.773797,1.618713,1.506090,0.433150,-0.405467,5.638715
0.020000,1.500174,3.755550,1.649005,1.514589,0.424942,-0.410415,5.634816
0.020000,1.524418,3.737113,1.679463,1.522921,0.416597,-0.417240,5.631282
0.020000,1.548730,3.718496,1.710085,1.531082,0.408077,-0.426015,5.628122
0.020000,1.573113,3.699709,1.740866,1.539069,0.399341,-0.436789,5.625346
0.020000,1.597572,3.680763,1.771804,1.546876,0.390349,-0.449621,5.622963
0.020000,1.622109,3.661671,1.802894,1.554497,0.381058,-0.464551,5.620984
0.020000,1.646729,3.642444,1.834132,1.561926,0.371426,-0.481613,5.619419
0.020000,1.671437,3.623094,1.865515,1.569154,0.361409,-0.500837,5.618280
0.020000,1.696238,3.603635,1.897039,1.576173,0.350964,-0.522237,5.617579
0.020000,1.721077,3.584126,1.928624,1.579250,0.153861,-9.855142,5.617327
0.020000,1.745794,3.564713,1.960052,1.571431,-0.390985,-27.242301,5.617531
0.020000,1.770227,3.545539,1.991111,1.552930,-0.925043,-26.702904,5.618185
0.020000,1.794325,3.526663,2.021722,1.530531,-1.119961,-9.745919,5.619278
0.020000,1.818091,3.508096,2.051881,1.507955,-1.128761,-0.440008,5.620798
0.020000,1.841537,3.489845,2.081592,1.485581,-1.118703,0.502897,5.622734
0.020000,1.864670,3.471916,2.110860,1.463401,-1.109034,0.483457,5.625075
0.020000,1.887501,3.454315,2.139688,1.441406,-1.099711,0.466177,5.627810
0.020000,1.910037,3.437045,2.168080,1.419593,-1.090690,0.451033,5.630930
0.020000,1.932286,3.420113,2.196039,1.397954,-1.081930,0.437991,5.634425
0.020000,1.954254,3.403521,2.223569,1.376486,-1.073390,0.427009,5.638285
0.020000,1.975948,3.387273,2.250673,1.355186,-1.065029,0.418035,5.642501
0.020000,1.997373,3.371373,2.277354,1.334049,-1.056809,0.411011,5.647064
0.020000,2.018536,3.355823,2.303615,1.313076,-1.048692,0.405877,5.651965
0.020000,2.039440,3.340625,2.329461,1.292263,-1.040640,0.402560,5.657196
0.020000,2.060091,3.325781,2.354893,1.271610,-1.032621,0.400984,5.662746
0.020000,2.080492,3.311292,2.379915,1.251118,-1.024599,0.401066,5.668607
0.020000,2.100646,3.297159,2.404531,1.230787,-1.016545,0.402712,5.674771
0.020000,2.120558,3.283384,2.428743,1.210619,-1.008429,0.405828,5.681227
0.020000,2.140230,3.269966,2.452556,1.190614,-1.000223,0.410304,5.687968
0.020000,2.159664,3.256904,2.475971,1.170776,-0.991902,0.416028,5.694984
0.020000,2.178863,3.244199,2.498993,1.151108,-0.983444,0.422877,5.702265
0.020000,2.197829,3.231850,2.521625,1.131611,-0.974830,0.430719,5.709802
0.020000,2.216563,3.219854,2.543871,1.112290,-0.966042,0.439419,5.717585
0.020000,2.235068,3.208211,2.565734,1.093149,-0.957065,0.448829,5.725604
0.020000,2.253344,3.196917,2.587218,1.074191,-0.947889,0.458797,5.733849
0.020000,2.271393,3.185972,2.608326,1.055421,-0.938506,0.469163,5.742310
0.020000,2.289216,3.175372,2.629063,1.036843,-0.928911,0.479768,5.750975
0.020000,2.306813,3.165113,2.649432,1.018461,-0.919102,0.490438,5.759835
