# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.13290810490847355,0,3.0,0.3833149524241574,0.0,0.0,0.0
 0.08953049965526147,1.0120235332037892,3.0000278908480222,0.13290810490847355,0.2685914989657844,2.9999999999999996,0.3833149524241574,0.0,7.110838747409804,0.0
 0.1267385014694122,1.024093648818368,3.000111628352119,0.39748820592223083,0.3802155044082366,3.0,0.3795996609067834,0.0,9.186027087856113,0.0
 0.1553721313712116,1.0362096208485543,3.000251309952337,0.660517505823807,0.4661163941136348,3.0,0.37600473645897103,0.0,10.803636939207491,0.0
 0.17957992865184264,1.0483707232991657,3.000447033088721,0.9220497587416789,0.5387397859555279,2.9999999999999987,0.37252680955940776,0.0,12.161050713248045,0.0
 0.20096688178865962,1.0605762301750195,3.0006988952013165,1.1821375804403698,0.6029006453659788,2.9999999999999973,0.36916263663039817,0.0,13.342855059838483,0.0
 0.22035515392571592,1.0728254154809338,3.0010069937301695,1.4408324854258168,0.6610654617771476,3.0,0.36590909507703123,0.0,14.395400721482115,0.0
 0.2382325609139863,1.0851175532217257,3.001371426115326,1.6981849228829937,0.7146976827419588,2.999999999999997,0.3627631786856844,0.0,15.34761099582327,0.0
 0.25491655092672955,1.0974519174022128,3.001792289796831,1.9542443114567776,0.7647496527801885,3.0,0.35972199286671164,0.0,16.21908749002871,0.0
 0.2706273461011847,1.1098277820272129,3.00226968221473,2.2090590729291866,0.811882038303554,3.0,0.35678275055917036,0.0,17.023902532301552,0.0
 0.28552508129491294,1.1222444211015437,3.0028037008090696,2.462676664819255,0.8565752438847387,3.0000000000000036,0.35394276783255,0.0,17.77259942595219,0.0
 0.2997304848525144,1.1347011086300225,3.003394443019895,2.715143611932502,0.899191454557543,2.999999999999992,0.35119946006268293,0.0,18.473341873452018,0.0
 0.31333722296788874,1.1471971186174668,3.0040420062872517,2.966505536920342,0.9400116689036659,2.999999999999996,0.34855033804601054,0.0,19.132618713488505,0.0
 0.3264196795151655,1.1597317250686945,3.004746488051185,3.216807189875169,0.9792590385454961,2.9999999999999956,0.34599300429586105,0.0,19.755698599568003,0.0
 0.33903807849691536,1.172304201988523,3.0055079857517417,3.4660924769677157,1.0171142354907459,3.000000000000009,0.34352514963879155,0.0,20.34693569717163,0.0
 0.3512419805934831,1.18491382338177,3.0063265968289663,3.7144044881811573,1.053725941780449,2.999999999999991,0.34114454972488145,0.0,20.909982347438856,0.0
 0.363072743140412,1.1975598632532531,3.0072024187229047,3.9617855241941813,1.0892182294212356,2.999999999999995,0.338849061934459,0.0,21.44794131558157,0.0
 0.37456529594836724,1.2102415956077897,3.008135548873603,4.208277122385428,1.1236958878451013,3.0,0.3366366221354261,0.0,21.963477501067473,0.0
 0.38574945199286,1.2229582944501973,3.0091260847211063,4.4539200820370715,1.1572483559785796,3.0,0.33450524183194796,0.0,22.458901657521217,0.0
 0.3966508936768627,1.235709233785294,3.0101741237054607,4.698754488743291,1.1899526810305876,2.999999999999995,0.33245300537996464,0.0,22.936234311615923,0.0
 0.4072919276844978,1.2484936876178967,3.011279763266711,4.942819738060283,1.221875783053493,3.0000000000000053,0.3304780670705973,0.0,23.39725536723183,0.0
 0.4176920714850283,1.2613109299528233,3.0124431008449046,5.186154558417228,1.2530762144550844,2.9999999999999947,0.3285786486174631,0.0,23.843543161371997,0.0
 0.42786851519678754,1.2741602347948917,3.013664233880085,5.428797033287833,1.2836055455903623,3.0000000000000164,0.3267530368237713,0.0,24.27650562697222,0.0
 0.43783648971375294,1.2870408761489192,3.0149432598122994,5.670784622738458,1.3135094691412585,3.0,0.32499958085707403,0.0,24.697405428927727,0.0
 0.4476095633337823,1.299952128019723,3.016280276081593,5.912154184219082,1.3428286900013466,2.9999999999999942,0.32331669021564946,0.0,25.10738047991996,0.0
 0.45719988315063637,1.3128932644121214,3.0176753801280114,6.152941992784953,1.3715996494519087,2.9999999999999942,0.3217028323394571,0.0,25.50746082614861,0.0
 0.46661837327488903,1.3258635593309316,3.0191286693916,6.393183760670795,1.3998551198246667,3.0,0.32015653067006017,0.0,25.898582673894918,0.0
 0.4758748989538944,1.3388622867809712,3.020640241312405,6.632914656241549,1.427624696861683,3.000000000000024,0.3186763624143816,0.0,26.28160014043736,0.0
 0.4849784034922514,1.3518887207670578,3.0222101933304715,6.872169322395304,1.4549352104767541,3.000000000000006,0.31726095679119576,0.0,26.657295160872422,0.0
 0.4939370232825483,1.364942135294009,3.0238386228858456,7.1109818943792815,1.481811069847645,3.000000000000025,0.31590899299979713,0.0,27.026385904388537,0.0
 0.5027581850735077,1.3780218043666421,3.0255256274185722,7.349386017066795,1.5082745552205232,3.0000000000000124,0.3146191984733707,0.0,27.38953396817212,0.0
 0.5114486887138291,1.3911270019897752,3.027271304368698,7.587414861723903,1.5343460661414874,2.999999999999987,0.3133903472008366,0.0,27.747350554714004,0.0
 0.520014777934954,1.4042570021682257,3.029075751176268,7.825101142225413,1.5600443338048622,3.000000000000013,0.31222125802066125,0.0,28.100401819973797,0.0
 0.5284622012182199,1.417411078906811,3.030939065281328,8.062477130828585,1.5853866036546596,2.999999999999974,0.3111107930393851,0.0,28.449213508559694,0.0
 0.536796264391119,1.430588506210349,3.0328613441239236,8.29957467342822,1.6103887931733571,3.0,0.31005785600227764,0.0,28.79427500420544,0.0
